标题,发布机构,发布时间,政策类别,关键词,摘要,原文链接
人工智能北京共识,北京人工智能研究院,2019-05,共识,"原则,研究,开发,使用,治理和长远规划",人工智能（AI）的发展关系到全社会、全人类和环境的未来。提出以下原则，作为人工智能研究、开发、使用、治理和长远规划的倡议，呼吁人工智能健康发展，支持构建命运共同体，实现人工智能造福人类社会和自然。,https://www.baai.ac.cn/news/beijing-ai-principles.html
人工智能行业自律公约（征求意见稿）,中国人工智能产业发展联盟,2019-06,自愿承诺,"人工智能伦理,安全,标准化和参与，包括国际化","中国人工智能产业联盟 (AIIA) 于 2017 年成立，拥有中国顶尖科技公司和大学的名人录成员，发布了关于人工智能 (AI) 行业自律的“联合承诺”草案。 5 月 31 日。

该草案将在 6 月 30 日之前向联盟成员和公众开放征求意见，这可能是中国在被理解为人工智能发展的广泛活动中努力的重要共同起点。虽然其内容较为笼统，但包含“安全可控”、“自律”等词语，使该文件与中国数字治理的更广泛趋势相吻合。

AIIA 似乎是一个伪官方组织，这一事实加强了这种一致性。根据其网站，AIIA 于 2017 年 10 月由工业和信息化部（MIIT）中国信息通信研究院（CAICT，见 DigiChina 简介）牵头的一组机构启动。新联盟接待了各种问题的工作组，吸引了来自研究机构和私营部门的成员。

AIIA 的成员分为正式成员（250 名以上）、理事会成员（125 名以上）和理事会副主席（29 名）。最后一类包括领先的科技公司百度、阿里巴巴、腾讯、华为、中兴通讯、360 等，以及清华大学、浙江大学和哈尔滨工业大学。

从最初发布的版本中，是否所有 AIIA 成员都会签署这份文件的最终版本尚不清楚，但这无疑是自 2017 年新一代人工智能发布以来中国出现的最突出的人工智能伦理声明之一。智能发展计划（AIDP，见 DigiChina 译文），它呼吁对人工智能发展的政策和伦理方面给予高度重视。",https://mp.weixin.qq.com/s/x7HTx4AR6oNBWwWxUpnSuQ
新一代人工智能的治理原则：发展负责任的人工智能,中国政府,2019-06,倡议,"治理原则,负责任","中国科技部（MOST）成立的专家委员会今天发布了一份文件，概述了人工智能治理和“负责任的人工智能”的八项原则。完整的翻译如下。

由国家新一代人工智能治理专家委员会制定的这些原则已被期待数周，并加入了其他几份最近关于人工智能治理和伦理的中国文件。 2017年国务院发布了科技部牵头的新一代人工智能发展规划（AIDP）。

据该委员会主席、清华大学苏世民学院院长薛澜介绍，科技部于 3 月成立了该委员会，研究人工智能治理的政策建议并确定国际合作领域。今年 5 月，科技部部长王志刚表示，该委员会正在起草指导人工智能治理的原则。

除了委员会成员之外，外部利益相关者似乎也为起草工作提供了意见。例如，据报道，投资者和人工智能科学家李开复为委员会的第一次会议提交了书面建议。

这些原则伴随着中国最近几周为阐明人工智能发展指南而做出的一系列努力。 5 月 28 日，北京人工智能研究院（BAAI）发布了《北京人工智能原则》，用于“人工智能的研究、开发、使用、治理和长期规划”。 5 月 31 日，中国人工智能产业联盟（AIIA）发布（DigiChina 译）一份关于人工智能开发和使用自律的“联合承诺”草案。",
《人工智能模型风险治理能力成熟度模型》标准编制说明,中国互联网协会,2021-08,标准,"人工智能,风险治理,模型","本标准针对企业在研发、实施和使用人工智能模型过程中面临的主要风险挑战，根据法律法规和行业特性，明确人工智能模型治理的原则、目标，厘清主体责任，建立覆盖围绕人工智能模型的风险治理能力成熟度模型，规范模型在需求分析、数据准备、模型构建、检验验证、模型部署、持续验证、模型修正、模型下线等环节中的风险治理活动，从策略制度、组织架构、资源配置、技术手段等方面提供保障，提出切实有效的治理措施，确保组织健康有序发展。
本标准适用于规范各类组织人工智能模型风险治理活动，指导组织建设和评价风险治理能力，也适用于主管监管部门、第三方评估机构等组织对人工智能模型研发、实施和使用进行监督、管理和评估。",https://www.isc.org.cn/zxzx/hyxx/listinfo-40432.html
《关于加强科技伦理治理的指导意见(征求意见稿)》,科学技术部科技监督与诚信建设司,2021-07,伦理规范,"科研伦理,伦理治理,监管框架","科技伦理是伦理思想在科学研究和技术开发等科技活动中的应用，是科技活动需要遵循的价值理念和行为规范。党中央、国务院高度重视科技伦理建设，习近平总书记在中国科学院第二十次院士大会、中国工程院第十五次院士大会、中国科协第十次全国代表大会上讲话指出，科技是发展的利器，也可能成为风险的源头，要前瞻研判科技发展带来的规则冲突、社会风险、伦理挑战，完善相关法律法规、伦理审查规则及监管框架。

为贯彻习近平总书记重要讲话精神，落实党的十九届四中全会、五中全会关于“健全科技伦理治理体制”“健全科技伦理体系”的决策部署，加大科技伦理治理力度，推动科技向善，保障我国科技事业健康发展，在国家科技伦理委员会领导下，科技部研究起草了《关于加强科技伦理治理的指导意见（征求意见稿）》，现向社会公开征求意见。",http://www.ncsti.gov.cn/kjdt/tzgg/202107/t20210728_37551.html
关于开展车联网身份认证和安全信任试点工作的通知,中国工信部,2021-06,指令,"车联网,网络安全,身份认证",为贯彻落实《新能源汽车产业发展规划（2021-2035年）》《智能汽车创新发展战略》和车联网产业发展专委会第四次全体会议工作任务要求，加快推进车联网网络安全保障能力建设，构建车联网身份认证和安全信任体系，推动商用密码应用，保障蜂窝车联网（C-V2X）通信安全，现开展车联网身份认证和安全信任试点工作。,https://wap.miit.gov.cn/jgsj/waj/wjfb/art/2021/art_203bcf2323ca42d4aca6c9324e90187f.html
《人工智能安全发展上海倡议》,上海市人工智能产业安全专家咨询委员会,2019-07,伦理规范,"人工智能,风险评估,安全监管","为了应对人工智能安全挑战，守护智能时代人类未来，上海市人工智能产业安全专家咨询委员会在充分吸纳国内外人工智能安全共识的基础上，联合人工智能安全领域的专家学者和产业界同仁，共同发起“人工智能安全发展上海倡议”，主要内容包括：

面向未来——人工智能发展需要实现创新与安全的协同，以安全保障创新，以创新驱动安全。在确保人工智能自身安全的同时，积极将人工智能技术应用于解决人类社会的安全难题。

以人为本——国际社会应一道科学规划人工智能的发展路径，确保人工智能按照人类预期并服务人类福祉方向发展，机器自主进化和自我复制等关键进程须进行风险评估和安全监管。

责任明晰——人工智能发展应当建立完备的安全责任框架，需要针对人工智能的应用场景，不断创新法律法规和伦理规范，明确人工智能安全责任认定和分担机制。

隐私保护——人工智能发展需要保障用户的数据安全，人工智能发展不得以牺牲用户隐私为代价，需要加强数据保护立法，丰富人工智能的技术路线，不断强化人工智能应用中的用户隐私保护。

算法公正——人工智能发展应避免由于算法设计对公众产生的危害，须明确算法动机和可解释性，克服算法设计和数据收集引发的不公正影响。

透明监管——人工智能发展应当避免技术黑箱导致的安全风险，需要通过建立可审查、可回溯、可推演的监管机制，确保目标功能和技术实现的统一。

和平利用——人工智能技术应当审慎运用在军事领域，自主化武器的研发和使用须遵循严格的风险评估，避免由于人工智能技术在军事领域滥用对全球和平稳定的威胁。

开放合作——人工智能发展需要各国、各方的协同共进，应当积极在国际范围建立人工智能安全发展的规范和标准，避免技术和政策不兼容导致的安全风险。",https://baijiahao.baidu.com/s?id=1637929566959873584&wfr=spider&for=pc
中国《工业和信息化领域数据安全管理办法 (试行)》,工业和信息化部,2021-10,法律法规,"数据安全,管理,法规","《办法》指出，行业监管部门鼓励数据开发利用和数据安全技术研究，支持推广数据安全产品和服务，培育数据安全企业、研究和服务机构，壮大数据安全产业，提升数据安全保障能力，促进数据的创新应用。

《办法》提出，工业和电信数据处理者收集数据应当遵循合法、正当、必要的原则，不得窃取或者以其他非法方式收集数据。数据收集过程中，应当采取配备技术手段、签署安全协议等措施加强对数据收集人员、设备的管理，并对数据收集的时间、类型、数量、频度、流向等进行记录。通过间接途径获取数据的，应当要求数据提供方做出数据源合法性的书面承诺，并承担相应的法律责任。

 《办法》指出，工业和电信数据处理者在中华人民共和国境内收集和产生的重要数据，应当依照法律、行政法规要求在境内存储，确需向境外提供的，应当依法依规进行数据出境安全评估，在确保安全的前提下进行数据出境，并加强对数据出境后的跟踪掌握。核心数据不得出境。

 《办法》提出，工业和电信数据处理者未经个人、单位等同意，不得使用数据挖掘、关联分析等技术手段针对特定主体进行精准画像、数据复原等加工处理活动。利用数据进行自动化决策的，应当保证决策的透明度和结果公平合理。使用、加工重要数据和核心数据的，还应当加强访问控制，建立登记、审批机制并留存记录。工业和电信数据处理者提供数据处理服务，涉及经营电信业务的，应当按照相关法律、行政法规规定取得电信业务经营许可。",https://www.secrss.com/articles/34838
《深圳经济特区人工智能产业促进条例》草案,深圳市人大常委会办公厅,2021-07,法律法规,"AI产业,开放相关数据,治理机制",《深圳经济特区人工智能产业促进条例（草案）》从深圳人工智能产业发展实际出发，围绕“明确范围+补齐短板+强化支撑+抢抓应用+集聚发展+规范治理”等环节，主要在人工智能及人工智能产业的界定、人工智能统计与监测制度、补齐人工智能基础研究短板、人工智能产业基础设施、充分发挥应用场景驱动作用、确立人工智能治理机制等六个方面进行探索创新。目标：率先通过立法推动人工智能产业高质量健康发展，促进人工智能与各产业领域深度融合，是打造全球领先人工智能产业高地的必然选择。,https://syncedreview.com/2021/06/30/shenzhen-rolls-out-chinas-first-general-ai-regulation/
《物联网新型基础设施建设三年行动计划 (2021-2023年)》,"农业农村部,国家卫生健康委员会,国家能源局,工业和信息化部,中央网络安全和信息化委员会办公室,科学技术部,生态环境部,住房和城乡建设部",2021-09,,"基础设施体系,物联网,数字经济",物联网是以感知技术和网络通信技术为主要手段，实现人、机、物的泛在连接，提供信息感知、信息传输、信息处理等服务的基础设施。随着经济社会数字化转型和智能升级步伐加快，物联网已经成为新型基础设施的重要组成部分。为贯彻落实《中华人民共和国国民经济和社会发展第十四个五年规划和2035年远景目标纲要》，打造系统完备、高效实用、智能绿色、安全可靠的现代化基础设施体系，推进物联网新型基础设施建设，充分发挥物联网在推动数字经济发展、赋能传统产业转型升级方面的重要作用，制定本计划。,https://www.secrss.com/articles/34789
