领域,风险维度,风险简称,ERM,WoI,CF,ERS_raw,ERS_指数化,全局排名,Q_数量充分度,C_有效来源多样性,来源熵,有效来源数,有效证据记录数,总记录数,数据源覆盖数,权重处理说明
机器视觉,侵犯隐私,隐私,46.645447,0.277042,0.860452,11.119425,100,1,0.802198,0.922937,1.529243,4.614684,365,365,5,直接FAHP的发生权重与影响权重逐项相乘，归一化后使用。
自动驾驶,决策不自主受控,自主决策,53.603334,0.318404,0.617153,10.533266,94.728505,2,0.632653,0.602032,1.101993,3.010161,155,155,5,专家成因排序未设置数据处理对应题项；未覆盖风险源取0，已覆盖风险源的排序转FAHP权重再归一。
自动驾驶,权责归属不清或失当,责任,54.188783,0.219479,0.878615,10.449623,93.976286,3,0.81405,0.948301,1.556354,4.741503,394,394,5,专家成因重要性排序转成对比较FAHP，归一化后使用。
服务机器人,决策不自主受控,自主决策,39.534282,0.313049,0.757673,9.377095,84.330747,4,0.656489,0.874453,1.475281,4.372264,172,172,5,专家成因重要性排序转成对比较FAHP，归一化后使用。
个性化算法,侵犯隐私,隐私,42.314198,0.246898,0.768769,8.031542,72.229833,5,0.728916,0.810802,1.399706,4.054008,242,242,5,直接FAHP的发生权重与影响权重逐项相乘，归一化后使用。
个性化算法,加剧社会偏见或歧视,偏见歧视,52.220757,0.204508,0.731149,7.808337,70.222485,6,0.693878,0.770421,1.34862,3.852107,204,204,5,直接FAHP的发生权重与影响权重逐项相乘，归一化后使用。
机器视觉,决策不自主受控,自主决策,56.670682,0.176398,0.765955,7.656928,68.860828,7,0.728097,0.805782,1.393496,4.028909,241,241,5,原问卷未提供部署使用权重；缺失项取0，已有权重再归一。
服务机器人,侵犯隐私,隐私,45.823686,0.231206,0.700351,7.420002,66.730089,8,0.709677,0.691147,1.240035,3.455733,220,220,5,专家成因重要性排序转成对比较FAHP，归一化后使用。
机器视觉,破坏社会公平,公平,52.799764,0.200561,0.670389,7.099123,63.844329,9,0.67509,0.66572,1.202552,3.3286,187,187,5,直接FAHP的发生权重与影响权重逐项相乘，归一化后使用。
个性化算法,决策不自主受控,自主决策,48.872219,0.186498,0.769367,7.012438,63.064754,10,0.746479,0.792958,1.377452,3.964788,265,265,5,原问卷未提供部署使用权重；缺失项取0，已有权重再归一。
自动驾驶,破坏社会公平,公平,81.007887,0.130533,0.638173,6.748176,60.688169,11,0.65251,0.624151,1.138075,3.120757,169,169,5,专家成因排序未设置数据处理、算法开发、产品开发对应题项；未覆盖风险源取0，已覆盖风险源的排序转FAHP权重再归一。
机器视觉,加剧社会偏见或歧视,偏见歧视,43.402903,0.199143,0.761228,6.579601,59.172133,12,0.73607,0.787245,1.370223,3.936227,251,251,5,直接FAHP的发生权重与影响权重逐项相乘，归一化后使用。
机器视觉,权责归属不清或失当,责任,65.069159,0.146856,0.668984,6.392652,57.490846,13,0.689655,0.648932,1.17701,3.244658,200,200,5,直接FAHP的发生权重与影响权重逐项相乘，归一化后使用。
个性化算法,破坏社会公平,公平,43.665728,0.20724,0.699398,6.329049,56.918846,14,0.683099,0.716086,1.275482,3.580428,194,194,5,直接FAHP的发生权重与影响权重逐项相乘，归一化后使用。
自动驾驶,侵犯隐私,隐私,44.790706,0.190539,0.735408,6.276261,56.444115,15,0.700997,0.771509,1.350031,3.857546,211,211,5,专家成因重要性排序转成对比较FAHP，归一化后使用。
服务机器人,破坏社会公平,公平,76.571748,0.130611,0.613889,6.139578,55.214883,16,0.577465,0.65261,1.182662,3.263049,123,123,5,专家成因排序未设置数据处理、算法开发、产品开发对应题项；未覆盖风险源取0，已覆盖风险源的排序转FAHP权重再归一。
服务机器人,权责归属不清或失当,责任,51.163415,0.181781,0.620676,5.772621,51.914745,17,0.571429,0.674168,1.215162,3.370842,120,120,4,专家成因重要性排序转成对比较FAHP，归一化后使用。
个性化算法,权责归属不清或失当,责任,48.984794,0.154857,0.682629,5.178181,46.568781,18,0.693878,0.671564,1.211291,3.357818,204,204,5,直接FAHP的发生权重与影响权重逐项相乘，归一化后使用。
服务机器人,加剧社会偏见或歧视,偏见歧视,50.974777,0.143353,0.668253,4.883184,43.915795,19,0.594595,0.751037,1.323138,3.755186,132,132,5,专家成因重要性排序转成对比较FAHP，归一化后使用。
自动驾驶,加剧社会偏见或歧视,偏见歧视,46.42761,0.141045,0.529522,3.467506,31.184215,20,0.52381,0.535297,0.984505,2.676487,99,99,5,专家成因排序未设置产品开发、部署使用对应题项；未覆盖风险源取0，已覆盖风险源的排序转FAHP权重再归一。
