领域,风险维度,风险简称,ERM,WoI,CF,ERS_raw,ERS_指数化,全局排名,Q_数量充分度,C_数据源加权覆盖度,有效样本量_EffectiveN,总文章数,数据源覆盖数,WoI方法
自动驾驶,决策不自主受控,自主性,52.0500,0.315256,0.847718,13.910260,100.0000,1,0.718625,1.000000,57.49,155,5,fahp_ranking
服务机器人,决策不自主受控,自主性,44.3800,0.303190,1.000000,13.455572,96.7313,2,1.000000,1.000000,98.87,172,5,fahp_ranking
机器视觉,侵犯隐私,隐私,46.6500,0.253320,1.000000,11.817378,84.9544,3,1.000000,1.000000,157.81,365,5,fahp_combined
服务机器人,侵犯隐私,隐私,44.4700,0.236730,1.000000,10.527383,75.6807,4,1.000000,1.000000,118.39,220,5,fahp_ranking
个性化算法,加剧社会偏见或歧视,偏见歧视,52.2200,0.205462,0.944722,10.136137,72.8681,5,0.892500,1.000000,71.40,204,5,fahp_combined
个性化算法,侵犯隐私,隐私,42.3100,0.236940,1.000000,10.024931,72.0686,6,1.000000,1.000000,95.95,242,5,fahp_combined
自动驾驶,权责归属不清或失当,责任,50.0600,0.198596,1.000000,9.941716,71.4704,7,1.000000,1.000000,196.93,394,5,fahp_ranking
机器视觉,决策不自主受控,自主性,56.1300,0.179234,0.981326,9.872533,70.9730,8,0.963000,1.000000,77.04,241,5,fahp_combined
自动驾驶,侵犯隐私,隐私,47.8700,0.192769,1.000000,9.227852,66.3385,9,1.000000,1.000000,99.48,211,5,fahp_ranking
个性化算法,决策不自主受控,自主性,48.8700,0.184076,1.000000,8.995794,64.6702,10,1.000000,1.000000,93.34,265,5,fahp_combined
机器视觉,权责归属不清或失当,责任,65.0700,0.162419,0.849044,8.973206,64.5078,11,0.720875,1.000000,57.67,200,5,fahp_combined
机器视觉,加剧社会偏见或歧视,偏见歧视,43.4000,0.201323,1.000000,8.737418,62.8128,12,1.000000,1.000000,95.68,251,5,fahp_combined
机器视觉,破坏社会公平,公平,52.8000,0.203704,0.807929,8.689743,62.4700,13,0.652750,1.000000,52.22,187,5,fahp_combined
个性化算法,破坏社会公平,公平,43.6700,0.209071,0.938150,8.565430,61.5763,14,0.880125,1.000000,70.41,194,5,fahp_combined
个性化算法,权责归属不清或失当,责任,48.9800,0.164451,1.000000,8.054810,57.9055,15,1.000000,1.000000,86.41,204,5,fahp_combined
服务机器人,权责归属不清或失当,责任,50.8800,0.174762,0.880528,7.829559,56.2862,16,0.947625,0.818182,75.81,120,4,fahp_ranking
服务机器人,加剧社会偏见或歧视,偏见歧视,49.4300,0.140216,0.867323,6.011312,43.2150,17,0.752250,1.000000,60.18,132,5,fahp_ranking
服务机器人,破坏社会公平,公平,44.9400,0.145102,0.850808,5.548023,39.8844,18,0.723875,1.000000,57.91,123,5,fahp_ranking
自动驾驶,加剧社会偏见或歧视,偏见歧视,49.0400,0.157033,0.684653,5.272445,37.9033,19,0.468750,1.000000,37.50,99,5,fahp_ranking
自动驾驶,破坏社会公平,公平,45.2400,0.136346,0.811634,5.006397,35.9907,20,0.658750,1.000000,52.70,169,5,fahp_ranking
